Unit,Tcode,Rec'd,Scanned,Sent to CU,Status,Household Member,Mailing Zip,Move In,Move Out,Member Age - as of date,Effective Date,Admission Date,Total Annual Income,Special Program Setting,Member Citizen,Member Sex,Tenant Rent,TTP,Member Ethnicity,Bedrooms,Family Members,Eligible  Members,Dependants,HH Members under age 13,Student Houshold Members,Non-Students Age 18+,Single Parent HH
5,t0001004,6/9/2014,6/10/2014,6/10/2014,Current,H,80303,94-01-18,99-12-30,44,1/1/2015,1/18/1994,21821,mtwfam,IN,F,618,618,1,3,3,2,0,0,0,3,Unknown
5,t0001001,5/21/2014,6/9/2014,6/10/2014,Current,H,80303,08-12-01,99-12-30,49,5/1/2014,5/19/2006,36887,mtwfam,EC,M,898,898,1,3,4,3,2,0,0,3,Unknown
5,t0000924,,,,Current,H,80303,10-04-05,99-12-30,40,11/1/2014,4/5/2010,28860,mtwfam,EN,F,674,674,1,3,5,5,4,2,1,1,Yes
5,t0001453,6/2/2014,6/9/2014,6/10/2014,Past,H,80303,09-01-27,14-09-05,46,9/5/2014,12/30/1899,0,mtwfam,IN,M,571,0,1,2,3,1,0,0,0,2,Unknown
5,t0000988,,,,Current,H,80303,03-10-30,99-12-30,39,10/1/2014,10/30/2003,2400,mtwfam,IN,M,471,471,1,2,4,1,2,1,0,2,NO
5,a0000338,6/24/2014,7/18/2014,7/21/2014,Current,H,80303,09-05-20,99-12-30,34,5/1/2014,5/20/2009,16016,mtwfam,IN,M,552,552,1,2,4,1,2,2,0,2,Unknown
5,t0000999,,,,Current,H,80303,08-11-01,99-12-30,38,7/1/2014,7/27/2007,4800,mtwfam,IN,F,268,268,1,2,3,2,2,2,0,1,Yes
5,t0000989,6/30/2014,7/18/2014,7/21/2014,Current,H,80303,08-10-01,99-12-30,37,10/1/2014,10/20/2003,16380,mtwfam,IN,M,530,530,1,3,5,3,3,2,0,2,NO
5,t0000985,7/25/2014,8/13/2014,8/13/2014,Current,H,80303,06-09-20,99-12-30,43,9/1/2014,9/20/2006,14380,mtwfam,IN,M,499,499,1,3,5,3,3,1,0,2,NO
5,t0000991,6/26/2014,7/18/2014,7/21/2014,Current,H,80303,08-10-01,99-12-30,32,6/1/2014,6/25/2007,13442,mtwfam,IN,F,439,439,1,2,2,1,1,1,0,1,Yes
5,t0001007,6/4/2014,6/9/2014,6/10/2014,Current,H,80303,05-01-05,99-12-30,45,1/1/2015,1/5/2005,17680,mtwfam,IN,M,514,514,1,2,4,2,2,1,0,2,NO
5,t0000987,7/30/2014,8/13/2014,8/13/2014,Current,H,80303,02-09-09,99-12-30,41,10/1/2014,9/9/2002,29250,mtwfam,IN,F,707,707,1,2,3,2,2,0,1,1,Yes
5,t0001012,,,,Current,H,80303,06-02-16,99-12-30,42,2/1/2014,2/16/2006,4800,mtwfam,IN,F,295,295,1,2,5,3,3,3,0,2,Unknown
